Date,Open,High,Low,Close,Adj Close,Volume
2022-08-22,5.860000,5.890000,5.490000,5.490000,5.490000,12140000
2022-08-23,5.640000,6.000000,5.580000,5.800000,5.800000,12485200
2022-08-24,5.850000,6.100000,5.780000,5.950000,5.950000,8222300
2022-08-25,6.200000,6.350000,6.030000,6.170000,6.170000,8212700
2022-08-26,6.250000,6.290000,5.875000,6.000000,6.000000,7772900
2022-08-29,5.880000,6.210000,5.840000,5.970000,5.970000,6146800
2022-08-30,5.820000,5.930000,5.300000,5.410000,5.410000,16672100
2022-08-31,5.540000,5.570000,5.290000,5.360000,5.360000,9994000
2022-09-01,5.250000,5.365000,5.100000,5.320000,5.320000,11775400
2022-09-02,5.360000,5.580000,5.260000,5.270000,5.270000,8703900
2022-09-06,5.330000,5.370000,5.030000,5.060000,5.060000,15257200
2022-09-07,5.020000,5.235000,5.000000,5.170000,5.170000,16381600
2022-09-08,5.100000,5.310000,5.020000,5.250000,5.250000,11234000
2022-09-09,5.280000,5.540000,5.220000,5.420000,5.420000,24240300
2022-09-12,5.380000,5.465000,5.240000,5.390000,5.390000,11360400
2022-09-13,5.170000,5.200000,5.020000,5.030000,5.030000,10065900
2022-09-14,5.180000,5.580000,5.100000,5.370000,5.370000,19312100
2022-09-15,5.330000,5.450000,5.160000,5.220000,5.220000,14714000
2022-09-16,5.250000,5.250000,5.060000,5.120000,5.120000,23261800
2022-09-19,5.070000,5.125000,4.560000,4.580000,4.580000,25131700
2022-09-20,4.640000,4.700000,4.520000,4.560000,4.560000,11081400
2022-09-21,4.560000,4.560000,4.100000,4.380000,4.380000,20056400
2022-09-22,4.420000,4.450000,3.950000,4.080000,4.080000,22572900
2022-09-23,4.010000,4.050000,3.820000,3.890000,3.890000,15316600
2022-09-26,3.940000,4.096000,3.830000,3.850000,3.850000,11835400
2022-09-27,3.940000,4.050000,3.780000,3.900000,3.900000,11814400
2022-09-28,3.920000,3.980000,3.830000,3.940000,3.940000,7439800
2022-09-29,3.900000,3.910000,3.520000,3.570000,3.570000,12385200
2022-09-30,3.555000,3.660000,3.510000,3.520000,3.520000,7409400
2022-10-03,3.570000,3.590000,3.350000,3.520000,3.520000,7292400
2022-10-04,3.660000,3.930000,3.630000,3.920000,3.920000,11674600
2022-10-05,3.820000,3.845000,3.590000,3.700000,3.700000,11310000
2022-10-06,3.750000,3.800000,3.520000,3.540000,3.540000,8977500
2022-10-07,3.490000,3.510000,3.220000,3.250000,3.250000,13178700
2022-10-10,3.260000,3.290000,2.880000,3.000000,3.000000,13312100
2022-10-11,2.985000,3.100000,2.840000,2.990000,2.990000,11514400
2022-10-12,2.992000,3.040000,2.870000,3.000000,3.000000,10421200
2022-10-13,2.900000,3.110000,2.820000,3.100000,3.100000,11998400
2022-10-14,3.150000,3.235000,2.870000,3.060000,3.060000,18210800
2022-10-17,3.070000,3.130000,2.930000,2.970000,2.970000,12788900
2022-10-18,3.070000,3.150000,2.980000,3.060000,3.060000,13039800
2022-10-19,3.010000,3.020000,2.800000,2.900000,2.900000,15471300
2022-10-20,2.870000,2.960000,2.840000,2.880000,2.880000,12016800
2022-10-21,2.875000,3.040000,2.820000,3.010000,3.010000,12663400
2022-10-24,2.980000,2.990000,2.820000,2.950000,2.950000,8032400
